"id","ICAO","IATA","Name","WTC","fileType","yrtext","season","year","phase","hasWTC","mean","median","p10","p90","stDev"
9,"CYYC","YYC","Calgary Intl",NA,"pdf","12S","Summer","12","In",FALSE,9,8,5,12,5
13,"CYYC","YYC","Calgary Intl",NA,"pdf","12S","Summer","12","Out",FALSE,18,17,12,24,6
10,"CYYC","YYC","Calgary Intl",NA,"pdf","13S","Summer","13","In",FALSE,9,8,5,13,4
14,"CYYC","YYC","Calgary Intl",NA,"pdf","13S","Summer","13","Out",FALSE,18,17,12,25,7
12,"CYYC","YYC","Calgary Intl",NA,"pdf","13W","Winter","13","In",FALSE,9,8,5,12,4
16,"CYYC","YYC","Calgary Intl",NA,"pdf","13W","Winter","13","Out",FALSE,23,19,12,39,12
1,"CYYC","YYC","Calgary Intl",NA,"xlsx","14S","Summer","14","In",FALSE,9.03801652892562,9,5,13,4.3646164612748
2,"CYYC","YYC","Calgary Intl",NA,"xlsx","14S","Summer","14","Out",FALSE,19.7903494176373,19,13,27,8.32001442573092
10,"CYYC","YYC","Calgary Intl",NA,"xlsx","14W","Winter","14","In",FALSE,10.3590604026846,10,5,15,4.56622815004077
23,"CYYC","YYC","Calgary Intl",NA,"xlsx","14W","Winter","14","Out",FALSE,24.481228668942,21,13,41,11.9119409926019
4,"CYYC","YYC","Calgary Intl",NA,"xlsx","15S","Summer","15","In",FALSE,9.93609671848014,9,6,14,4.7626421780962
11,"CYYC","YYC","Calgary Intl",NA,"xlsx","15S","Summer","15","Out",FALSE,18.1418685121107,18,12,24,5.73571117105748
7,"CYYC","YYC","Calgary Intl",NA,"xlsx","15W","Winter","15","In",FALSE,10.8041958041958,10,7,15,3.75618085482552
14,"CYYC","YYC","Calgary Intl",NA,"xlsx","15W","Winter","15","Out",FALSE,25.1358885017422,22,13,43,13.2588142405137
5,"CYYC","YYC","Calgary Intl",NA,"xlsx","16S","Summer","16","In",FALSE,10.4722222222222,10,7,14,4.81516422464225
12,"CYYC","YYC","Calgary Intl",NA,"xlsx","16S","Summer","16","Out",FALSE,18.9397394136808,18,13,25,6.59561008267263
8,"CYYC","YYC","Calgary Intl",NA,"xlsx","16W","Winter","16","In",FALSE,6.86397058823529,6,4,9,4.60545437568453
15,"CYYC","YYC","Calgary Intl",NA,"xlsx","16W","Winter","16","Out",FALSE,17.6764705882353,17,13,23,5.16214199790279
6,"CYYC","YYC","Calgary Intl",NA,"xlsx","17S","Summer","17","In",FALSE,6.25919117647059,6,4,9,2.26367505595754
13,"CYYC","YYC","Calgary Intl",NA,"xlsx","17S","Summer","17","Out",FALSE,16.5918367346939,16,12,21,4.19244409769866
9,"CYYC","YYC","Calgary Intl",NA,"xlsx","17W","Winter","17","In",FALSE,6.56015037593985,6,4,9,2.5855458851994
24,"CYYC","YYC","Calgary Intl",NA,"xlsx","17W","Winter","17","Out",FALSE,21.4097744360902,18,13,37,10.5018119885698
4,"CYYZ","YYZ","Toronto Intl/L.B. PE",NA,"pdf","10S","Summer","10","In",FALSE,10,9,6,13,4
7,"CYYZ","YYZ","Toronto Intl/L.B. PE",NA,"pdf","10S","Summer","10","Out",FALSE,18,17,13,24,6
6,"CYYZ","YYZ","Toronto Intl/L.B. PE",NA,"pdf","10W","Winter","10","In",FALSE,11,10,7,15,4
8,"CYYZ","YYZ","Toronto Intl/L.B. PE",NA,"pdf","10W","Winter","10","Out",FALSE,23,19,14,40,13
1,"CYYZ","YYZ","Toronto Intl/L.B. PE",NA,"pdf","11S","Summer","11","Out",FALSE,19,18,13,26,8
5,"CYYZ","YYZ","Toronto Intl/L.B. PE",NA,"pdf","11S","Summer","11","In",FALSE,10,9,6,14,4
2,"CYYZ","YYZ","Toronto Intl/L.B. PE",NA,"pdf","11W","Winter","11","In",FALSE,10,9,5,14,4
3,"CYYZ","YYZ","Toronto Intl/L.B. PE",NA,"pdf","11W","Winter","11","Out",FALSE,20,18,12,31,11
9,"CYYZ","YYZ","Toronto Intl/L.B. PE",NA,"pdf","12S","Summer","12","In",FALSE,10,10,6,14,5
13,"CYYZ","YYZ","Toronto Intl/L.B. PE",NA,"pdf","12S","Summer","12","Out",FALSE,18,18,12,25,7
11,"CYYZ","YYZ","Toronto Intl/L.B. PE",NA,"pdf","12W","Winter","12","In",FALSE,10,10,5,14,4
